Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2024-01-01,2024,1,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c003,TARCR110OZ003,UN,20.0,2024,1,1,0
2024-01-01,2024,1,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c005,TARCR110OZ005,UN,15.0,2024,1,1,0
2024-01-01,2024,1,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c007,TARCR110OZ007,UN,14.0,2024,1,1,0
2024-01-01,2024,1,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c001,TARCR110OZ001,UN,16.0,2024,1,1,0
2024-01-01,2024,1,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c002,TARCR110OZ002,UN,13.0,2024,1,1,0
2024-01-01,2024,1,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c026,TARCR110OZ026,UN,17.0,2024,1,1,0
2024-01-01,2024,1,R30,TELAS,Tela Arpillera Rollo,Tela Arpillera Rollo 50M 10 OZ c010,TARPR210OZ010,UN,52.0,2024,1,1,0
2024-02-01,2024,2,R30,TELAS,Tela Arpillera Rollo,Tela Arpillera Rollo 50M 10 OZ c010,TARPR210OZ010,UN,91.0,2024,2,1,3
2024-02-01,2024,2,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c007,TARCR110OZ007,UN,9.0,2024,2,1,3
2024-02-01,2024,2,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c026,TARCR110OZ026,UN,9.0,2024,2,1,3
2024-02-01,2024,2,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c005,TARCR110OZ005,UN,9.0,2024,2,1,3
2024-02-01,2024,2,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c003,TARCR110OZ003,UN,12.0,2024,2,1,3
2024-02-01,2024,2,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c001,TARCR110OZ001,UN,11.0,2024,2,1,3
2024-02-01,2024,2,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c002,TARCR110OZ002,UN,9.0,2024,2,1,3
2024-03-01,2024,3,R30,TELAS,Tela Arpillera Rollo,Tela Arpillera Rollo 50M 10 OZ c010,TARPR210OZ010,UN,200.0,2024,3,1,4
2024-03-01,2024,3,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c001,TARCR110OZ001,UN,7.0,2024,3,1,4
2024-03-01,2024,3,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c002,TARCR110OZ002,UN,2.0,2024,3,1,4
2024-03-01,2024,3,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c026,TARCR110OZ026,UN,3.0,2024,3,1,4
2024-03-01,2024,3,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c007,TARCR110OZ007,UN,2.0,2024,3,1,4
2024-03-01,2024,3,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c003,TARCR110OZ003,UN,3.0,2024,3,1,4
2024-03-01,2024,3,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c005,TARCR110OZ005,UN,2.0,2024,3,1,4
2024-04-01,2024,4,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c002,TARCR110OZ002,UN,5.0,2024,4,2,0
2024-04-01,2024,4,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c001,TARCR110OZ001,UN,8.0,2024,4,2,0
2024-04-01,2024,4,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c003,TARCR110OZ003,UN,4.0,2024,4,2,0
2024-04-01,2024,4,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c007,TARCR110OZ007,UN,3.0,2024,4,2,0
2024-04-01,2024,4,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c005,TARCR110OZ005,UN,5.0,2024,4,2,0
2024-04-01,2024,4,R30,TELAS,Tela Arpillera Rollo,Tela Arpillera Rollo 50M 10 OZ c010,TARPR210OZ010,UN,34.0,2024,4,2,0
2024-04-01,2024,4,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c026,TARCR110OZ026,UN,3.0,2024,4,2,0
2024-05-01,2024,5,R30,TELAS,Tela Arpillera Rollo,Tela Arpillera Rollo 50M 10 OZ c010,TARPR210OZ010,UN,6.0,2024,5,2,2
2024-05-01,2024,5,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c026,TARCR110OZ026,UN,3.0,2024,5,2,2
2024-05-01,2024,5,R30,TELAS,Tela Arpillera Color Rollo,Tela Arpillera Color Rollo 25 Metros 10 OZ c007,TARCR110OZ007,UN,1.0,2024,5,2,2
